Filename,Prediction,Confidence,Result
Unknown_0.jpg,Malignant,"['0.0000000000', '1.0000000000']",Unknown Original
Unknown_105.jpg,Malignant,"['0.0008929367', '0.9991070628']",Unknown Original
Unknown_101.jpg,Malignant,"['0.0004366154', '0.9995633960']",Unknown Original
Unknown_1.jpg,Malignant,"['0.0000000000', '1.0000000000']",Unknown Original
Unknown_100.jpg,Malignant,"['0.0000000570', '1.0000000000']",Unknown Original
Unknown_102.jpg,Malignant,"['0.0000117173', '0.9999883175']",Unknown Original
Unknown_10.jpg,Malignant,"['0.0000591827', '0.9999408722']",Unknown Original
Unknown_104.jpg,Malignant,"['0.0000438025', '0.9999562502']",Unknown Original
Unknown_103.jpg,Malignant,"['0.0002736684', '0.9997263551']",Unknown Original
Unknown_106.jpg,Malignant,"['0.0000000000', '1.0000000000']",Unknown Original
Unknown_107.jpg,Malignant,"['0.0000000926', '0.9999998808']",Unknown Original
Unknown_112.jpg,Malignant,"['0.0000291387', '0.9999709129']",Unknown Original
Unknown_110.jpg,Malignant,"['0.0000000018', '1.0000000000']",Unknown Original
Unknown_109.jpg,Malignant,"['0.0000000018', '1.0000000000']",Unknown Original
Unknown_111.jpg,Malignant,"['0.0000002278', '0.9999997616']",Unknown Original
Unknown_108.jpg,Malignant,"['0.0003703126', '0.9996296167']",Unknown Original
Unknown_11.jpg,Malignant,"['0.0007079532', '0.9992920160']",Unknown Original
Unknown_115.jpg,Malignant,"['0.1097968966', '0.8902030587']",Unknown Original
Unknown_114.jpg,Malignant,"['0.0403967611', '0.9596032500']",Unknown Original
Unknown_113.jpg,Malignant,"['0.0000000028', '1.0000000000']",Unknown Original
Unknown_116.jpg,Malignant,"['0.0001341553', '0.9998657703']",Unknown Original
Unknown_121.jpg,Malignant,"['0.0000018031', '0.9999982119']",Unknown Original
Unknown_117.jpg,Malignant,"['0.0000103334', '0.9999896288']",Unknown Original
Unknown_119.jpg,Malignant,"['0.0005164956', '0.9994834661']",Unknown Original
Unknown_118.jpg,Malignant,"['0.0077859717', '0.9922140241']",Unknown Original
Unknown_122.jpg,Malignant,"['0.0000000001', '1.0000000000']",Unknown Original
Unknown_123.jpg,Malignant,"['0.0558176599', '0.9441823363']",Unknown Original
Unknown_124.jpg,Malignant,"['0.0000079761', '0.9999920130']",Unknown Original
Unknown_120.jpg,Malignant,"['0.0000127457', '0.9999872446']",Unknown Original
Unknown_12.jpg,Malignant,"['0.0000891458', '0.9999108315']",Unknown Original
Unknown_125.jpg,Malignant,"['0.0000000000', '1.0000000000']",Unknown Original
Unknown_15.jpg,Malignant,"['0.0000000000', '1.0000000000']",Unknown Original
Unknown_127.jpg,Malignant,"['0.0000000997', '0.9999998808']",Unknown Original
Unknown_126.jpg,Malignant,"['0.0000000031', '1.0000000000']",Unknown Original
Unknown_13.jpg,Malignant,"['0.0000000052', '1.0000000000']",Unknown Original
Unknown_19.jpg,Malignant,"['0.0004909846', '0.9995089769']",Unknown Original
Unknown_14.jpg,Malignant,"['0.0000011637', '0.9999988079']",Unknown Original
Unknown_17.jpg,Malignant,"['0.0000044576', '0.9999955893']",Unknown Original
Unknown_18.jpg,Malignant,"['0.0004484816', '0.9995514750']",Unknown Original
Unknown_16.jpg,Malignant,"['0.0000003821', '0.9999996424']",Unknown Original
Unknown_2.jpg,Malignant,"['0.1354451180', '0.8645548224']",Unknown Original
Unknown_23.jpg,Benign,"['0.9963223934', '0.0036776564']",Unknown Original
Unknown_20.jpg,Malignant,"['0.0000076381', '0.9999923706']",Unknown Original
Unknown_22.jpg,Malignant,"['0.0050043780', '0.9949955940']",Unknown Original
Unknown_21.jpg,Malignant,"['0.0004053419', '0.9995946288']",Unknown Original
Unknown_24.jpg,Malignant,"['0.0000567136', '0.9999432564']",Unknown Original
Unknown_25.jpg,Malignant,"['0.0002848656', '0.9997151494']",Unknown Original
Unknown_26.jpg,Malignant,"['0.0000196655', '0.9999803305']",Unknown Original
Unknown_29.jpg,Malignant,"['0.0038896427', '0.9961103797']",Unknown Original
Unknown_28.jpg,Malignant,"['0.0000024586', '0.9999974966']",Unknown Original
Unknown_27.jpg,Malignant,"['0.0000316250', '0.9999684095']",Unknown Original
Unknown_3.jpg,Malignant,"['0.1236952096', '0.8763048053']",Unknown Original
Unknown_31.jpg,Malignant,"['0.0007132177', '0.9992868304']",Unknown Original
Unknown_30.jpg,Malignant,"['0.0006780138', '0.9993220568']",Unknown Original
Unknown_32.jpg,Malignant,"['0.0026015341', '0.9973984957']",Unknown Original
Unknown_38.jpg,Malignant,"['0.0000223582', '0.9999775887']",Unknown Original
Unknown_37.jpg,Benign,"['0.9863692522', '0.0136307692']",Unknown Original
Unknown_35.jpg,Malignant,"['0.0000177262', '0.9999822378']",Unknown Original
Unknown_36.jpg,Malignant,"['0.0000177262', '0.9999822378']",Unknown Original
Unknown_34.jpg,Malignant,"['0.0005438596', '0.9994561076']",Unknown Original
Unknown_33.jpg,Malignant,"['0.0002510848', '0.9997488856']",Unknown Original
Unknown_4.jpg,Malignant,"['0.0000000000', '1.0000000000']",Unknown Original
Unknown_39.jpg,Malignant,"['0.0030771743', '0.9969227910']",Unknown Original
Unknown_40.jpg,Malignant,"['0.0000251145', '0.9999748468']",Unknown Original
Unknown_41.jpg,Malignant,"['0.0000072629', '0.9999927282']",Unknown Original
Unknown_43.jpg,Benign,"['0.9695814252', '0.0304185748']",Unknown Original
Unknown_42.jpg,Benign,"['0.9695814252', '0.0304185748']",Unknown Original
Unknown_47.jpg,Malignant,"['0.0000002806', '0.9999997616']",Unknown Original
Unknown_49.jpg,Malignant,"['0.0000067731', '0.9999932051']",Unknown Original
Unknown_5.jpg,Malignant,"['0.0000127457', '0.9999872446']",Unknown Original
Unknown_48.jpg,Malignant,"['0.0000000116', '1.0000000000']",Unknown Original
Unknown_45.jpg,Malignant,"['0.0000000440', '1.0000000000']",Unknown Original
Unknown_44.jpg,Malignant,"['0.1036563516', '0.8963437080']",Unknown Original
Unknown_46.jpg,Malignant,"['0.0000001253', '0.9999998808']",Unknown Original
Unknown_50.jpg,Malignant,"['0.0911582485', '0.9088417292']",Unknown Original
Unknown_54.jpg,Malignant,"['0.0000000000', '1.0000000000']",Unknown Original
Unknown_52.jpg,Benign,"['0.8429930806', '0.1570069194']",Unknown Original
